industry_group,cluster_id,profile_name,profile_name_prompt_file,job_count,cluster_percentage_in_industry,top_titles,core_skills,experience,other_requirements,education,salary_min_avg,salary_max_avg,llm_prompt_file
环境与安全,1,环境技术专员,clustered_output/profile_name_prompt_环境与安全_1.txt,13,68.42,作物主管（新疆塔城）; 招商专员; 线好营养师助理; 保洁; 环保技术员,办公软件; 给排水; cad; 营养方案; 房地产; 市场营销; 栽培管理; 技术解决方案; 维护客户关系; 健康管理,无需经验,大专及以上学历，相关专业背景；责任心强，工作认真细致；能适应出差或现场作业；具备沟通协调或抗压能力；学习能力强，有进取心,大专,4923.08,6884.62,clustered_output/prompt_环境与安全_1.txt
环境与安全,2,环境安全销售管理,clustered_output/profile_name_prompt_环境与安全_2.txt,6,31.58,大客户销售（无锡居家办公）; 财务部经理; 不招员工｜只分利润｜工业环保渠道合伙人｜50-200万; 高级销售工程师 燃机 华东; 人力资源及行政经理/主管/专员,销售; 市场分析; 市场拓展; 大客户开发; 预测报告; 工业产品销售; 空气净化设备; 风机; 暖通设备; 财务,5年及以上,大专或以上学历；具备销售热情和自驱力；较强的沟通协调能力；能适应出差或灵活工作；注重团队合作和结果导向,本科,17250.0,30833.33,clustered_output/prompt_环境与安全_2.txt
管理与咨询,1,综合管理专员,clustered_output/profile_name_prompt_管理与咨询_1.txt,63,63.0,物业维修（白班8小时）; 贸易/外贸专员/助理; 物业客服; 本部上班 接听客服; 通知登记岗位,项目管理; 设备检修技能包; 行政管理技能包; 办公软件; 安全巡查技能包; 团队管理; 数据分析; 日常管理; 大专及以上学历; 物业管理,无需经验,大专及以上学历；责任心强；工作细致认真；能适应出差或快节奏环境；具备团队协作能力,大专,6296.83,8971.43,clustered_output/prompt_管理与咨询_1.txt
管理与咨询,2,运营支持专员,clustered_output/profile_name_prompt_管理与咨询_2.txt,37,37.0,加热模块工程师; 物业运营成本控制经理; 出纳; 活动策划岗（余姚五彩城）; 企业高级助理,成本控制; 物业; 市场营销; 办公软件; solidworks技能包; 自动化; 给排水; 项目管理; 计算机技能包; 活动策划,3年及以上,本科及以上学历；责任心强，工作认真负责；具备良好的沟通与执行能力；学习能力强，适应性强；能适应一定的工作强度或出差,本科,11792.79,17441.44,clustered_output/prompt_管理与咨询_2.txt
食品与饮料,1,零售销售专员,clustered_output/profile_name_prompt_食品与饮料_1.txt,5,31.25,销售专员; 叉车司机; 储备干部; 咖啡零食理货220天; 健康顾问（七星，秀峰，象山）,零售; 电话沟通; 面谈沟通; 客户需求分析; 市场推广与销售; 解决方案提供; 客户关系维护; 竞品动态分析; 市场信息收集; 数据分析能力,无需经验,大专及以上学历；能适应高强度或倒班工作；有责任心与执行力；具备抗压能力；愿意从基层做起,大专,3920.0,6040.0,clustered_output/prompt_食品与饮料_1.txt
食品与饮料,2,市场渠道专员,clustered_output/profile_name_prompt_食品与饮料_2.txt,8,50.0,总务专员; 特渠开发专员; 电商运营专员; 推广专员（郑州）(J25342); 销售代表-中山(A142315),市场营销技能包; 谈判技巧; 价格体系; 竞品分析; 酒店; 夜店; 连锁餐饮; 公司租赁管理; 连锁行业运作模式; 特通大客户渠道,3年及以上,大专及以上学历，市场营销等相关专业优先；具备较强的沟通协调和谈判能力；能吃苦耐劳，适应出差或外勤工作；具备市场分析和客户开发经验,大专,8125.0,13500.0,clustered_output/prompt_食品与饮料_2.txt
食品与饮料,3,食品饮料区域销售经理,clustered_output/profile_name_prompt_食品与饮料_3.txt,3,18.75,武汉城市经理（低温冷藏品）; 浙北省区经理 休闲食品; 市场管理主管/经理（食品/饮料行业）,低温冷藏; 餐饮渠道; 快消品行业; excel; 市场推广; 销售数据; 快消行业销售; 促销费用; 市场洞察; 陈列标准,5年及以上,大专及以上学历；具备渠道管理与拓展能力；良好的团队协作与抗压能力；强烈的目标感和责任心；具备市场洞察与数据分析能力,大专,15666.67,25000.0,clustered_output/prompt_食品与饮料_3.txt
能源与动力,1,新能源技术工程师,clustered_output/profile_name_prompt_能源与动力_1.txt,37,72.55,销售经理; 电芯生产组长 泰国; cnc编程; 风力发电运维员/运维工程师; 风电运维（储备）定检工程师,数据分析; 测试; 生产技能包; 储能; 工艺标准; 技术支持; 财务技能包; cad; 质量管理; 新能源,3年及以上,大专及以上学历，相关专业优先；责任心强，工作细致严谨；具备良好的沟通协调和团队协作能力；能适应出差或短期驻场工作；学习能力强，能快速适应新技术,大专,7900.0,11627.03,clustered_output/prompt_能源与动力_1.txt
能源与动力,2,能源动力技术工程师,clustered_output/profile_name_prompt_能源与动力_2.txt,14,27.45,暖通/制冷方案工程师; 西藏开投共享公司-业务财务岗; 应用开发主管; 工艺经理; 研发质量经理(J12309),成本控制; 金蝶; 量产; cad; 机械设计; 财务管理; 财务软件; 用友; 金融; 设计方案,5年及以上,本科或大专及以上学历；具备良好的沟通协调与团队协作能力；有较强的责任心与抗压能力；能适应短期或一定强度的出差；具备相关专业背景或技术经验,本科,14571.43,23571.43,clustered_output/prompt_能源与动力_2.txt
金融与经济,1,金融业务专员,clustered_output/profile_name_prompt_金融与经济_1.txt,24,70.59,3w+米袋助贷顾问+五险一金高提成; 财务助理（五险一金）; 行政专员; 曲靖保险续期客服; 机械师,销售; 数据分析; excel; 财务软件操作技能包; 客户维护; 咨询服务; 销售顾问; 金融贷款; 贷款服务; 客户交流,无需经验,大专及以上学历，相关专业优先；责任心强，工作细致认真；具备良好的沟通能力和服务意识；学习能力强，能适应培训和工作节奏；具备一定的抗压能力和执行力,本科,7090.28,12680.56,clustered_output/prompt_金融与经济_1.txt
金融与经济,2,财税金融顾问,clustered_output/profile_name_prompt_金融与经济_2.txt,10,29.41,税筹顾问; 财富总监（机构）(J13774)-厦门; 数据架构师; 资产配置规划师; java,税务筹划; 团队管理; Vue; 会计; 经济; 财税; 识别税务风险; IPO; 债券; 股票质押,3年及以上,本科及以上学历，财税、金融、经济等相关专业优先；具备团队管理能力和业务开拓精神；工作责任心强，正直诚信，有良好职业操守；具备较强的独立学习和解决问题能力；具备证券、税务等金融专业知识背景,本科,13100.0,24200.0,clustered_output/prompt_金融与经济_2.txt
建筑与工程,1,建筑工程综合岗,clustered_output/profile_name_prompt_建筑与工程_1.txt,36,78.26,ehs安全经理/主管; 大客户销售/工程; 冠寓运营官(签约管家); 室内设计师; 幕墙设计师（沈阳设计部）,销售; sketchup技能包; 办公软件技能包; 市政; 安装; 结算; 工程验收; 运营管理; 图纸; 家具,3年及以上,大专及以上学历；责任心强，工作细致认真；具备较强的学习与适应能力；能适应工地或户外工作环境；具备良好的沟通与团队协作能力,大专,6362.04,9894.44,clustered_output/prompt_建筑与工程_1.txt
建筑与工程,2,测绘与项目管理,clustered_output/profile_name_prompt_建筑与工程_2.txt,10,21.74,测绘/测量; 法务管理; 子公司物业项目经理; 生产经理（ 建筑）; 销售经理,物业管理; 地理信息系统; 中级职称; 测绘仪器操作; 测绘工程; 数据处理软件应用; 空间想象能力; 户外工作环境适应; 数据分析能力; 注册测绘师证,5年及以上,本科或大专及以上学历；责任心强，工作认真负责；具备相关专业背景或职称；良好的沟通与协调能力；适应户外或现场工作环境,大专,10400.0,14800.0,clustered_output/prompt_建筑与工程_2.txt
电子信息,1,工艺研发工程师,clustered_output/profile_name_prompt_电子信息_1.txt,44,29.33,工艺工程师; 项目研发经理; 注塑成型技术经理; 生管; 成型技术员,结构设计; 机械; 自动化; 工艺; 电子; 英语听说读写; 研发; 异常处理; 硬件开发; 试产,5年及以上,本科或大专及以上学历；具备工艺或机械相关专业背景；有较强的责任心与抗压能力；具备良好的沟通与团队协作能力；动手能力强，能处理生产异常,本科,12303.03,19681.82,clustered_output/prompt_电子信息_1.txt
电子信息,2,电子技术工程师,clustered_output/profile_name_prompt_电子信息_2.txt,106,70.67,销售业务助理; 采购工程师; 工艺工程师; pie工程师; 机电工程师,电子; 办公软件; 销售; erp; 沟通能力; 测试; 采购; 电子元器件; 数据分析; cad,3年及以上,大专及以上学历，理工科专业优先；责任心强，工作细致严谨，抗压能力好；具备良好的沟通协调和团队协作能力；能适应出差或生产节奏，执行力强,大专,7869.5,12029.56,clustered_output/prompt_电子信息_2.txt
文化与艺术,1,文化运营专员,clustered_output/profile_name_prompt_文化与艺术_1.txt,5,15.15,保洁员; 产品引入商务; 视频剪辑; 地产文案指导; 海外新媒体运营,地产广告; 积极主动; 尽职尽责; 研发; 游戏行业; 商务谈判; 市场; pr; 视频剪辑; 能吃苦耐劳,3年及以上,工作认真负责，积极主动；具备良好的沟通或谈判能力；具备文字或内容策划能力；能吃苦耐劳，有责任心,大专,7520.0,11400.0,clustered_output/prompt_文化与艺术_1.txt
文化与艺术,2,新媒体内容运营,clustered_output/profile_name_prompt_文化与艺术_2.txt,28,84.85,抖音主播; 教务班主任(锦江校区); 海外娱乐主播（BIGOLIVE）; 广告设计师（五险一金）; 海外娱乐主播,excel; 娱乐主播技能包; 办公软件技能包; 设计软件技能包; 计算机; 直播; 情感分析; 销售; 聊天主播; 专业咨询,无需经验,具备良好的沟通与表达能力；工作认真细致，责任心强；能适应快节奏工作环境；学习能力强，愿意不断提升；欢迎应届毕业生或无经验者,未知,7096.43,10489.29,clustered_output/prompt_文化与艺术_2.txt
材料与轻工,1,材料轻工综合管理岗,clustered_output/profile_name_prompt_材料与轻工_1.txt,19,17.27,助理销售信息及客户服务经理; 家具结构设计师; 销售员; PMC计划运营主管/经理; 工艺工程师,沟通协调能力; 家具; cad; 精益生产; 管理; 人力资源管理; 供应链; 生产计划; 数据分析; 熟练使用office办公软件,5年及以上,本科及以上学历；具备跨部门协调与团队管理能力；责任心强且抗压能力好；能适应制造业快节奏工作；具备数据分析或供应链相关技能,本科,13236.84,21763.16,clustered_output/prompt_材料与轻工_1.txt
材料与轻工,2,生产运营专员,clustered_output/profile_name_prompt_材料与轻工_2.txt,91,82.73,质量工程师; 业务跟单; 生产主管; 服装跟单; 塑胶挤出岗位操作工,办公软件; 销售; 数据分析; 市场营销; 客户维护; erp; 国际贸易; 沟通能力; 营销; 生产管理技能包,3年及以上,大专及以上学历优先；责任心强，工作认真负责；具备良好的沟通协作能力；能适应出差或灵活工作安排；学习能力强，抗压性好,大专,7468.13,10852.38,clustered_output/prompt_材料与轻工_2.txt
交通与物流,1,交通物流服务岗,clustered_output/profile_name_prompt_交通与物流_1.txt,40,86.96,日薪 300+招新手家电清洗; 诚聘轨交巡检人员+五险一金; c1司机网约车; 洛阳站高铁乘务员+五险一金; 急招网约车司机来面就过,乘务员; 办公软件; 检票技能包; 国际贸易技能包; 乘辅警; 空运; 网络推广; 识字技能包; 家电清洗; word技能包,无需经验,身体健康，能适应轮班或灵活工作安排；具备良好的服务意识和亲和力，热爱服务行业；有责任心，抗压能力强，工作积极主动；学历要求通常为中专/高中及以上，部分岗位大专优先；年龄一般在18-50岁之间，部分岗位接受应届生或退役军人,未知,6025.48,8625.78,clustered_output/prompt_交通与物流_1.txt
交通与物流,2,物流销售经理,clustered_output/profile_name_prompt_交通与物流_2.txt,6,13.04,"物流销售经理（含运营）; 国际物流销售总监（广州&深圳）; Senior Advisor, KAM Commercial Asia; 市场销售; 件杂货租船经理",销售; 物流; 海运; 国际贸易技能包; 计算机技能包; 团队管理; 运输; 开发新客户; 办公软件; 市场开拓,5年及以上,本科或大专及以上学历，物流/国际贸易等相关专业优先；具备销售、市场开拓及客户关系管理能力，能开发新客户并维护关系；拥有较强的责任心、抗压能力和团队协作精神，能适应出差,本科,14583.33,22083.33,clustered_output/prompt_交通与物流_2.txt
化学与化工,1,化工技术应用工程师,clustered_output/profile_name_prompt_化学与化工_1.txt,3,21.43,家具漆技术应用工程师; 物探监督; 销售经理,家具漆; 水性产品; 英语口语; 数据采集; 地质; 成果报告; 地球物理; 物探; 数据处理; 化学工程,5年及以上,化学化工相关专业背景；具备技术应用或数据处理能力；良好的沟通与服务意识；能适应高强度工作节奏,中技/中专,19666.67,28333.33,clustered_output/prompt_化学与化工_1.txt
化学与化工,2,化工运营管理岗,clustered_output/profile_name_prompt_化学与化工_2.txt,11,78.57,仓库管理员(J10011); 化工销售; 环评工程师; 化工工艺工程师; 技术服务工程师,团队管理; 行政管理; 化工; 管理; 仓管; 单据整理; 仓库5s管理; 叉车证; 仓库; 台账,2年及以上,大专或本科及以上学历；化工或相关专业背景优先；具备团队管理与沟通协调能力；工作细致有责任心抗压能力强；能适应高强度或倒班工作节奏,本科,7772.73,13090.91,clustered_output/prompt_化学与化工_2.txt
酒店旅游与服务,1,酒店旅游服务专员,clustered_output/profile_name_prompt_酒店旅游与服务_1.txt,14,82.35,门店业务员; 日结600 早餐配送包食宿车; 店员/营业员; 炸鸡店店员; 餐饮店服务员,沟通能力; 美容养生; 餐饮产品制作; 前台点单; 顾客接待; 收银; 解答顾客疑问; 保持工作区域整洁; 遵守操作规范; 团队协作,无需经验,工作认真负责，有责任心；能适应快节奏或轮班工作环境；具备团队协作精神；身体健康，吃苦耐劳；有服务意识或相关经验优先,未知,6723.81,10035.71,clustered_output/prompt_酒店旅游与服务_1.txt
酒店旅游与服务,2,餐饮运营主管,clustered_output/profile_name_prompt_酒店旅游与服务_2.txt,3,17.65,餐厅主管; 店长(XJ000004); 店长,餐饮行业管理经验; 大型连锁餐厅背景; 星级酒店背景; 餐饮运营管理流程; 组织协调能力; 沟通能力; 责任心; 抗压能力; 财务分析能力; 餐饮管理证书,2年及以上,餐饮行业管理经验；组织协调与沟通能力；责任心与抗压能力；适应门店运营安排,大专,5933.33,8833.33,clustered_output/prompt_酒店旅游与服务_2.txt
检测与认证,1,检测认证工程师,clustered_output/profile_name_prompt_检测与认证_1.txt,4,21.05,可靠性工程师; 结构主任工程师; 无损检测工程师; (服装)质检员QC,车辆工程; 数据分析; 自动化; 机械; 电气; fmea; 可靠性测试; 报告撰写; 可靠性; fta,5年及以上,本科及以上学历；具备相关专业资格或认证；具备团队精神和责任心；具备解决问题和沟通能力,本科,12250.0,17500.0,clustered_output/prompt_检测与认证_1.txt
检测与认证,2,检测认证工程师,clustered_output/profile_name_prompt_检测与认证_2.txt,15,78.95,测试工程师; 外观检; 计量检测工程师（重庆两江新区）; (Sr.)Project Engineer/(高级)项目工程师-小家电; 食品检测液相组长,测试技能包; 认证; 销售; 质量控制; excel; 化学分析; 外观质量检查; 产品质量控制; 食品检验; 检测,无需经验,大专及以上学历，理工科相关专业优先；工作细致严谨，责任心强，具备良好的工作态度；具备良好的沟通协调能力和团队协作能力；具备较强的学习能力和抗压能力；能适应出差或流水线作业环境,大专,6900.0,9866.67,clustered_output/prompt_检测与认证_2.txt
教育,1,教育综合管理岗,clustered_output/profile_name_prompt_教育_1.txt,5,20.83,运营保障部 客户服务总监; 机械设计工程师; 市场招生与宣传负责人; AI算法工程师; 中法课程项目负责人 & 首席法语教师(J10614),团队管理; sop; 食品; 天猫; 京东; 平台规则; 危机处理; 测试; 焊接; 招聘,5年及以上,本科及以上学历；抗压与跨部门沟通能力；团队管理与课程研发经验；跨文化沟通与危机处理能力；热爱教育并具备同理心,本科,12200.0,17400.0,clustered_output/prompt_教育_1.txt
教育,2,教育技术专员,clustered_output/profile_name_prompt_教育_2.txt,19,79.17,博士后研究人员 （导师：翁莹，Alain Chong); 课件制作; 资产管理员; GIS工程师; AI SEO 专员,教学; 信息科技; 大数据分析; 计算机科学; 课件设计; keynote; 课件制作; ppt; 管理; 盘点,无需经验,本科及以上学历，相关专业优先；热爱教育事业，责任心强；具备良好的学习能力和沟通能力；接受应届毕业生或无经验者；具备团队协作精神,本科,7206.14,10179.82,clustered_output/prompt_教育_2.txt
